"Disease1","Disease2","TestValue","ExpectedValue","Variance","PValue","IsPositive","AdjustedPValue"
"condition_1616","condition_1634",84,26.2241956116875,26.1863002202803,0,TRUE,0
"condition_1616","condition_1637",77,25.3827543813996,25.3524151090885,0,TRUE,0
"condition_1616","condition_1640",38,8.78304148833024,8.77897677531163,0,TRUE,0
"condition_1622","condition_1634",171,35.4077039048947,35.3328846026278,0,TRUE,0
"condition_1622","condition_1637",105,32.4902951146054,32.4388312900954,0,TRUE,0
"condition_1622","condition_1640",103,11.3917895868116,11.3846015730423,0,TRUE,0
"condition_1634","condition_1637",139,36.3299255825799,36.2665165768946,0,TRUE,0
"condition_1634","condition_1640",91,12.7709449622226,12.7620120381155,0,TRUE,0
"condition_1637","condition_1640",53,12.5605007668898,12.5530667809391,0,TRUE,0
"condition_1701","condition_1703",146,32.1880046954541,32.1448869010169,0,TRUE,0
"condition_1701","condition_1705",54,17.16708335496,17.1542877318082,0,TRUE,0
"condition_1809","condition_1810",20,3.72505447501968,3.72437351214642,0,TRUE,0
"condition_112","condition_198",26,5.91967372585698,5.91575340319612,1.11022302462516e-16,TRUE,1.4122036873232e-12
"condition_407","condition_719",18,3.20918085165634,3.20861079295166,1.11022302462516e-16,TRUE,1.4122036873232e-12
"condition_408","condition_426",90,38.8574445612278,38.7949590241061,1.11022302462516e-16,TRUE,1.4122036873232e-12
"condition_1812","condition_1813",70,27.5242797942703,27.4789266863449,2.22044604925031e-16,TRUE,2.82440737464639e-12
"condition_404","condition_405",48,15.8802551669173,15.8695289026625,3.33066907387547e-16,TRUE,4.2366110619696e-12
"condition_298","condition_698",14,2.16889371127695,2.16863939421747,4.44089209850063e-16,TRUE,5.6488147492928e-12
"condition_410","condition_412",51,17.4076760615011,17.394472181569,4.44089209850063e-16,TRUE,5.6488147492928e-12
"condition_1812","condition_1817",153,81.0074968258544,80.6862387996724,5.55111512312578e-16,TRUE,7.06101843661599e-12
"condition_1614","condition_1627",36,10.3451050490163,10.3386505704508,7.7715611723761e-16,TRUE,9.8854258112624e-12
"condition_1701","condition_1798",90,39.8453713287006,39.7801284533493,8.88178419700125e-16,TRUE,1.12976294985856e-11
"condition_410","condition_426",91,40.5158098357997,40.4397567639577,9.99200722162641e-16,TRUE,1.27098331859088e-11
"condition_405","condition_712",69,27.6138521467209,27.5818766556558,1.66533453693773e-15,TRUE,2.11830553098479e-11
"condition_405","condition_406",83,36.0372482021485,35.9639595981692,2.44249065417534e-15,TRUE,3.10684811211103e-11
"condition_898","condition_911",11,1.48777389332541,1.4871207879329,3.10862446895044e-15,TRUE,3.95417032450496e-11
"condition_1112","condition_1113",158,86.617648532263,85.4024068756427,5.6621374255883e-15,TRUE,7.20223880534832e-11
"condition_424","condition_712",34,9.88717770314706,9.88205840324199,8.54871728961371e-15,TRUE,1.08739683923886e-10
"condition_605","condition_610",13,2.0541269707702,2.05371328050518,1.0991207943789e-14,TRUE,1.39808165044996e-10
"condition_405","condition_408",46,15.8793509203591,15.8690877398898,1.99840144432528e-14,TRUE,2.54196663718176e-10
"condition_908","condition_911",13,2.09387595050915,2.08900112166128,2.25375273998907e-14,TRUE,2.8667734852661e-10
"condition_101","condition_115",8,0.888813919463409,0.888687701619341,2.28705943072782e-14,TRUE,2.90913959588579e-10
"condition_101","condition_198",39,12.4490118031904,12.413105792862,2.42028619368284e-14,TRUE,3.07860403836457e-10
"condition_607","condition_1204",3,0.14736464923301,0.14735788093339,5.38458166943201e-14,TRUE,6.84918788351752e-10
"condition_407","condition_712",50,18.3169715097198,18.2984669770498,6.48370246381091e-14,TRUE,8.24726953396748e-10
"condition_512","condition_519",18,3.73706403286558,3.71028833024737,6.57252030578093e-14,TRUE,8.36024582895334e-10
"condition_711","condition_915",21,4.83393033193829,4.82707993070551,9.33697563709757e-14,TRUE,1.18766330103881e-09
"condition_426","condition_719",37,11.7761914349645,11.770256084864,9.74775815620887e-14,TRUE,1.23991483746977e-09
"condition_1015","condition_1017",11,1.62680739389097,1.62613393434361,9.88098491916389e-14,TRUE,1.25686128171765e-09
"condition_1813","condition_1817",85,39.1082760499593,39.0305381292618,1.02362562870439e-13,TRUE,1.30205179971198e-09
"condition_102","condition_1307",40,13.3320818485549,13.2318224138033,1.14019904629004e-13,TRUE,1.45033318688093e-09
"condition_498","condition_1998",21,4.87156380415082,4.87048242646343,1.35447209004269e-13,TRUE,1.7228884985343e-09
"condition_104","condition_202",68,28.9366489612773,28.8572771536794,1.774136393351e-13,TRUE,2.25670149234247e-09
"condition_408","condition_423",59,23.7426599612583,23.7202748492809,2.25708340906294e-13,TRUE,2.87101009632806e-09
"condition_1701","condition_1704",65,27.3603410209616,27.3290125695147,3.0098146197588e-13,TRUE,3.82848419633319e-09
"condition_1609","condition_1634",57,22.9115109154074,22.8716795191679,5.09703390605409e-13,TRUE,6.4834271285008e-09
"condition_504","condition_510",38,12.6937727646243,12.6590616256653,5.69544411632705e-13,TRUE,7.24460491596801e-09
"condition_1816","condition_1817",74,33.1530502380806,33.0860794628084,6.18061157808825e-13,TRUE,7.86173792732825e-09
"condition_1617","condition_1804",2379,2071.23174257171,1887.91958388662,7.04103442217274e-13,TRUE,8.95619578500373e-09
"condition_705","condition_710",16,3.24688782599038,3.24631520877711,7.3041572790089e-13,TRUE,9.29088805889932e-09
"condition_407","condition_408",33,10.3291176914223,10.3236160806026,8.57425241918008e-13,TRUE,1.09064490771971e-08
"condition_712","condition_1628",12,2.00974427078192,2.00936983092672,9.09605724075391e-13,TRUE,1.1570184810239e-08
"condition_604","condition_610",6,0.59399936077352,0.593975391281479,1.1545209233077e-12,TRUE,1.46855061444739e-08
"condition_101","condition_201",53,21.2116083940448,20.647869279093,1.31972210937192e-12,TRUE,1.67868652312108e-08
"condition_1609","condition_1616",40,13.9821892644446,13.9708752993349,1.69175784492381e-12,TRUE,2.15191597874309e-08
"condition_421","condition_423",16,3.3214371963568,3.32095128952154,1.73461245367434e-12,TRUE,2.20642704107376e-08
"condition_404","condition_412",46,17.2254910083945,17.2125799660297,2.02227123935472e-12,TRUE,2.5723290164592e-08
"condition_519","condition_604",8,1.01552626716026,1.01512063096769,2.0708990078333e-12,TRUE,2.63418353796396e-08
"condition_198","condition_298",35,11.5954677216759,11.5884004306922,3.09419156963031e-12,TRUE,3.93581167656975e-08
"condition_1108","condition_1110",29,8.74126788404021,8.72526738282638,3.48177042752695e-12,TRUE,4.42881198381428e-08
"condition_1117","condition_1598",24,6.62680258712493,6.62239376646354,7.3382411258649e-12,TRUE,9.33424271210015e-08
"condition_407","condition_429",12,2.13865176288505,2.13825616103617,7.71338548588574e-12,TRUE,9.81142633804666e-08
"condition_112","condition_607",5,0.456295850817194,0.456281201400404,8.68538574394506e-12,TRUE,1.10478106662981e-07
"condition_404","condition_423",56,23.4455545325301,23.4233657323975,8.69282423821005e-12,TRUE,1.10572724310032e-07
"condition_116","condition_405",30,9.43164192707504,9.41869922247104,1.02795549850043e-11,TRUE,1.30755939409255e-07
"condition_1605","condition_1616",84,41.4305697356496,41.3453558804203,1.79110060116727e-11,TRUE,2.27827996468477e-07
"condition_104","condition_607",9,1.34205725447265,1.34173693912439,1.90645277342583e-11,TRUE,2.42500792779766e-07
"condition_304","condition_313",164,98.6474208235679,97.7338949277142,1.91398008553278e-11,TRUE,2.4345826687977e-07
"condition_432","condition_1637",69,31.8030740225707,31.7598652796162,2.0507817666271e-11,TRUE,2.60859440714967e-07
"condition_412","condition_424",36,12.6241973712461,12.6157511206979,2.33216779221834e-11,TRUE,2.96651743170173e-07
"condition_1809","condition_1811",7,0.872061709951522,0.872028179877776,2.65106825381167e-11,TRUE,3.37215881884844e-07
"condition_511","condition_519",8,1.10684539483343,1.10644702712803,2.81605849750122e-11,TRUE,3.58202640882155e-07
"condition_198","condition_398",43,16.4675588687126,16.450711873448,3.04293257258337e-11,TRUE,3.87061023232605e-07
"condition_109","condition_607",9,1.36487860899824,1.36460693513121,3.15926174110359e-11,TRUE,4.01858093468377e-07
"condition_612","condition_1117",45,17.6538003679818,17.5384458631319,3.2923663795259e-11,TRUE,4.18789003475694e-07
"condition_198","condition_1998",17,4.05659478646874,4.055667593025,6.50159925896787e-11,TRUE,8.27003425740713e-07
"condition_423","condition_712",82,40.9286780084012,40.8615312113354,6.58819665488863e-11,TRUE,8.38018614501834e-07
"condition_709","condition_809",32,10.8499957971644,10.8407773414415,6.65330013305265e-11,TRUE,8.46299776924297e-07
"condition_432","condition_1634",66,30.5327095211376,30.4884571777048,6.66621202682904e-11,TRUE,8.47942169812654e-07
"condition_404","condition_1305",18,4.45418503721785,4.44983584723431,6.74909017561731e-11,TRUE,8.58484270338522e-07
"condition_421","condition_712",11,1.9841415333239,1.98391577200105,7.7198802905798e-11,TRUE,9.8196877296175e-07
"condition_1605","condition_1617",227,149.475969336468,148.34966757348,9.76947411857054e-11,TRUE,1.24267710788217e-06
"condition_1112","condition_1119",20,5.34383881793727,5.3378968835532,1.12235443161524e-10,TRUE,1.42763483701459e-06
"condition_398","condition_1898",69,32.7350848952032,32.6872783863,1.1263923127558e-10,TRUE,1.43277102182538e-06
"condition_406","condition_410",46,18.6655814796072,18.6440206466143,1.22160503934765e-10,TRUE,1.55388161005021e-06
"condition_1619","condition_1622",47,19.4096736848603,19.3861394616827,1.84864124008755e-10,TRUE,2.35147165739136e-06
